Ticker,Sector
NSE:RELIANCE,Energy
NSE:TCS,IT
NSE:INFY,IT
NSE:HDFCBANK,Banking
NSE:ICICIBANK,Banking
NSE:KOTAKBANK,Banking
NSE:SBIN,Banking
NSE:BAJAJFINSV,Financial Services
NSE:BAJAJFIN,Financial Services
NSE:WIPRO,IT
NSE:TECHM,IT
NSE:LT,Infrastructure
NSE:AXISBANK,Banking
NSE:MARUTI,Auto
NSE:TITAN,Consumer
NSE:SUNPHARMA,Pharma
NSE:DRREDDY,Pharma
NSE:HINDUNILVR,Consumer
NSE:ADANIENT,Infrastructure
NSE:ADANIPORTS,Infrastructure
NSE:ASIANPAINT,Chemicals
NSE:ULTRACEMCO,Cement
N Steel,Metals
