"PROJECTION: ₹20,000 → ₹1 CRORE  ▸  Sequential 6.28% Compounding Without Tax/Withdrawal (Gross Model)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Trade #,Investment ₹,Target @ 6.28% ₹,Gross Profit ₹,Brokerage ₹,Net Remain Profit ₹
84,2584966.12,2747301.993,162335.8724,6398.721735,155937.1506
85,2740903.271,2913031.996,172128.7254,6784.722321,165344.0031
86,2906247.274,3088759.603,182512.3288,7194.008252,175318.3206
87,3081565.594,3275087.914,193522.3193,7627.98421,185894.3351
88,3267459.93,3472656.413,205196.4836,8088.139611,197108.344
89,3464568.274,3682143.161,217574.8876,8576.053722,208998.8339
90,3673567.107,3904267.122,230700.0143,9093.401075,221606.6133
91,3895173.721,4139790.63,244616.9097,9641.957221,234974.9524
92,4130148.673,4389522.01,259373.3367,10223.60482,249149.7319
93,4379298.405,4654318.345,275019.9398,10840.3401,264179.5997
94,4643478.005,4935088.423,291610.4187,11494.27971,280116.139
95,4923594.144,5232795.856,309201.7122,12187.668,297014.0442
96,5220608.188,5548462.382,327854.1942,12922.88468,314931.3095
97,5535539.497,5883171.378,347631.8804,13702.45305,333929.4274
98,5869468.925,6238071.573,368602.6485,14529.0486,354073.5999
99,6223542.525,6614380.995,390838.4706,15405.50822,375432.9623
100,6598975.487,7013391.148,414415.6606,16334.83996,398080.8206
101,6997056.308,7436471.444,439415.1361,17320.2333,422094.9028
102,7419151.211,7885073.907,465922.696,18365.07014,447557.6259
103,7866708.836,8360738.151,494029.3149,19472.93639,474556.3785
104,8341265.215,8865096.67,523831.4555,20647.63426,503183.8212
105,8844449.036,9399880.436,555431.3995,21893.19537,533538.2041
106,9377987.24,9966924.839,588937.5987,23213.8945,565723.7042
107,9943710.944,10568175.99,624465.0473,24614.26432,599850.783
108,10543561.73,11205697.4,662135.6765,26099.11096,636036.5655
